,,,t,v,
Record Length,2.500000e+03,,   0.000055400000,  -0.08000,
Sample Interval,2.000000e-08,,   0.000055420000,  -0.10400,
Trigger Point,-2.770000000000e+03,,   0.000055440000,  -0.07200,
,,,   0.000055460000,  -0.08800,
,,,   0.000055480000,  -0.10400,
,,,   0.000055500000,  -0.10400,
Source,CH1,,   0.000055520000,  -0.08000,
Vertical Units,V,,   0.000055540000,  -0.08800,
Vertical Scale,2.000000e-01,,   0.000055560000,  -0.09600,
Vertical Offset,0.000000e+00,,   0.000055580000,  -0.05600,
Horizontal Units,s,,   0.000055600000,  -0.09600,
Horizontal Scale,5.000000e-06,,   0.000055620000,  -0.08000,
Pt Fmt,Y,,   0.000055640000,  -0.08000,
Yzero,0.000000e+00,,   0.000055660000,  -0.09600,
Probe Atten,1.000000e+01,,   0.000055680000,  -0.09600,
Model Number,TDS2022B,,   0.000055700000,  -0.10400,
Serial Number,C101009,,   0.000055720000,  -0.07200,
Firmware Version,FV:v22.11,,   0.000055740000,  -0.08000,
,,,0.000055760000,  -0.07200,
,,,0.000055780000,  -0.06400,
,,,0.000055800000,  -0.07200,
,,,0.000055820000,  -0.08000,
,,,0.000055840000,  -0.06400,
,,,0.000055860000,  -0.06400,
,,,0.000055880000,  -0.07200,
,,,0.000055900000,  -0.07200,
,,,0.000055920000,  -0.07200,
,,,0.000055940000,  -0.08800,
,,,0.000055960000,  -0.06400,
,,,0.000055980000,  -0.08000,
,,,0.000056000000,  -0.10400,
,,,0.000056020000,  -0.08000,
,,,0.000056040000,  -0.07200,
,,,0.000056060000,  -0.06400,
,,,0.000056080000,  -0.07200,
,,,0.000056100000,  -0.11200,
,,,0.000056120000,  -0.10400,
,,,0.000056140000,  -0.07200,
,,,0.000056160000,  -0.08800,
,,,0.000056180000,  -0.08800,
,,,0.000056200000,  -0.08800,
,,,0.000056220000,  -0.08800,
,,,0.000056240000,  -0.08800,
,,,0.000056260000,  -0.08800,
,,,0.000056280000,  -0.08800,
,,,0.000056300000,  -0.05600,
,,,0.000056320000,  -0.08000,
,,,0.000056340000,  -0.06400,
,,,0.000056360000,  -0.06400,
,,,0.000056380000,  -0.08800,
,,,0.000056400000,  -0.08800,
,,,0.000056420000,  -0.08000,
,,,0.000056440000,  -0.07200,
,,,0.000056460000,  -0.08000,
,,,0.000056480000,  -0.08800,
,,,0.000056500000,  -0.10400,
,,,0.000056520000,  -0.08800,
,,,0.000056540000,  -0.09600,
,,,0.000056560000,  -0.07200,
,,,0.000056580000,  -0.07200,
,,,0.000056600000,  -0.08000,
,,,0.000056620000,  -0.08800,
,,,0.000056640000,  -0.07200,
,,,0.000056660000,  -0.06400,
,,,0.000056680000,  -0.10400,
,,,0.000056700000,  -0.08800,
,,,0.000056720000,  -0.09600,
,,,0.000056740000,  -0.11200,
,,,0.000056760000,  -0.08800,
,,,0.000056780000,  -0.05600,
,,,0.000056800000,  -0.08800,
,,,0.000056820000,  -0.08800,
,,,0.000056840000,  -0.08000,
,,,0.000056860000,  -0.07200,
,,,0.000056880000,  -0.11200,
,,,0.000056900000,  -0.08800,
,,,0.000056920000,  -0.09600,
,,,0.000056940000,  -0.05600,
,,,0.000056960000,  -0.09600,
,,,0.000056980000,  -0.07200,
,,,0.000057000000,  -0.10400,
,,,0.000057020000,  -0.12800,
,,,0.000057040000,  -0.12800,
,,,0.000057060000,  -0.12000,
,,,0.000057080000,  -0.10400,
,,,0.000057100000,  -0.08800,
,,,0.000057120000,  -0.10400,
,,,0.000057140000,  -0.07200,
,,,0.000057160000,  -0.11200,
,,,0.000057180000,  -0.11200,
,,,0.000057200000,  -0.09600,
,,,0.000057220000,  -0.10400,
,,,0.000057240000,  -0.12000,
,,,0.000057260000,  -0.12000,
,,,0.000057280000,  -0.08000,
,,,0.000057300000,  -0.08800,
,,,0.000057320000,  -0.05600,
,,,0.000057340000,  -0.09600,
,,,0.000057360000,  -0.09600,
,,,0.000057380000,  -0.12800,
,,,0.000057400000,  -0.10400,
,,,0.000057420000,  -0.14400,
,,,0.000057440000,  -0.12000,
,,,0.000057460000,  -0.11200,
,,,0.000057480000,  -0.12800,
,,,0.000057500000,  -0.10400,
,,,0.000057520000,  -0.07200,
,,,0.000057540000,  -0.12000,
,,,0.000057560000,  -0.09600,
,,,0.000057580000,  -0.11200,
,,,0.000057600000,  -0.11200,
,,,0.000057620000,  -0.10400,
,,,0.000057640000,  -0.13600,
,,,0.000057660000,  -0.08000,
,,,0.000057680000,  -0.14400,
,,,0.000057700000,  -0.11200,
,,,0.000057720000,  -0.12800,
,,,0.000057740000,  -0.08000,
,,,0.000057760000,  -0.11200,
,,,0.000057780000,  -0.13600,
,,,0.000057800000,  -0.12800,
,,,0.000057820000,  -0.12800,
,,,0.000057840000,  -0.11200,
,,,0.000057860000,  -0.13600,
,,,0.000057880000,  -0.12000,
,,,0.000057900000,  -0.12000,
,,,0.000057920000,  -0.12000,
,,,0.000057940000,  -0.13600,
,,,0.000057960000,  -0.14400,
,,,0.000057980000,  -0.15200,
,,,0.000058000000,  -0.10400,
,,,0.000058020000,  -0.12800,
,,,0.000058040000,  -0.12800,
,,,0.000058060000,  -0.14400,
,,,0.000058080000,  -0.15200,
,,,0.000058100000,  -0.13600,
,,,0.000058120000,  -0.16000,
,,,0.000058140000,  -0.14400,
,,,0.000058160000,  -0.16800,
,,,0.000058180000,  -0.16800,
,,,0.000058200000,  -0.15200,
,,,0.000058220000,  -0.11200,
,,,0.000058240000,  -0.16000,
,,,0.000058260000,  -0.16000,
,,,0.000058280000,  -0.13600,
,,,0.000058300000,  -0.15200,
,,,0.000058320000,  -0.16000,
,,,0.000058340000,  -0.15200,
,,,0.000058360000,  -0.13600,
,,,0.000058380000,  -0.17600,
,,,0.000058400000,  -0.15200,
,,,0.000058420000,  -0.16000,
,,,0.000058440000,  -0.15200,
,,,0.000058460000,  -0.18400,
,,,0.000058480000,  -0.12800,
,,,0.000058500000,  -0.16000,
,,,0.000058520000,  -0.12800,
,,,0.000058540000,  -0.16000,
,,,0.000058560000,  -0.15200,
,,,0.000058580000,  -0.20000,
,,,0.000058600000,  -0.15200,
,,,0.000058620000,  -0.19200,
,,,0.000058640000,  -0.19200,
,,,0.000058660000,  -0.16800,
,,,0.000058680000,  -0.18400,
,,,0.000058700000,  -0.20000,
,,,0.000058720000,  -0.16800,
,,,0.000058740000,  -0.19200,
,,,0.000058760000,  -0.20800,
,,,0.000058780000,  -0.16000,
,,,0.000058800000,  -0.18400,
,,,0.000058820000,  -0.16000,
,,,0.000058840000,  -0.19200,
,,,0.000058860000,  -0.19200,
,,,0.000058880000,  -0.20800,
,,,0.000058900000,  -0.15200,
,,,0.000058920000,  -0.20000,
,,,0.000058940000,  -0.16000,
,,,0.000058960000,  -0.20800,
,,,0.000058980000,  -0.18400,
,,,0.000059000000,  -0.20000,
,,,0.000059020000,  -0.17600,
,,,0.000059040000,  -0.19200,
,,,0.000059060000,  -0.20800,
,,,0.000059080000,  -0.20000,
,,,0.000059100000,  -0.21600,
,,,0.000059120000,  -0.20800,
,,,0.000059140000,  -0.20000,
,,,0.000059160000,  -0.20000,
,,,0.000059180000,  -0.18400,
,,,0.000059200000,  -0.18400,
,,,0.000059220000,  -0.17600,
,,,0.000059240000,  -0.20800,
,,,0.000059260000,  -0.20800,
,,,0.000059280000,  -0.22400,
,,,0.000059300000,  -0.24000,
,,,0.000059320000,  -0.23200,
,,,0.000059340000,  -0.21600,
,,,0.000059360000,  -0.19200,
,,,0.000059380000,  -0.22400,
,,,0.000059400000,  -0.23200,
,,,0.000059420000,  -0.19200,
,,,0.000059440000,  -0.23200,
,,,0.000059460000,  -0.24800,
,,,0.000059480000,  -0.22400,
,,,0.000059500000,  -0.20800,
,,,0.000059520000,  -0.26400,
,,,0.000059540000,  -0.25600,
,,,0.000059560000,  -0.23200,
,,,0.000059580000,  -0.22400,
,,,0.000059600000,  -0.23200,
,,,0.000059620000,  -0.24000,
,,,0.000059640000,  -0.23200,
,,,0.000059660000,  -0.24800,
,,,0.000059680000,  -0.23200,
